,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
0,108하늘계단,7
1,12호 소공원,1
2,2022 고양곤충페스티벌,8
3,2022 서신면 한마음 어울림 마당 축제,8
4,3.1독립선언광장,2
5,APAP전망대,1
6,CN스파,6
7,DMZ 장단콩두부마을,7
8,DMZ생생누리,13
9,ESC방탈출카페 홍대점,13
10,K-water 한탄강댐 물문화관,2
11,Kt소닉붐아레나경기장,5
12,L7 홍대,5
13,T팩토리,13
14,kk 디톡스 족욕샵,13
15,voyage 축제 참여(자라섬),8
16,가나아트파크 어린이체험관,13
17,가나아트파크 조각공원,1
18,가마봉1길,7
19,가운문화공원,7
20,가자실내낚시카페 대학로점,13
21,가평 갤럭시하우스 뒷편마을,7
22,가평 도그랜드 인근,1
23,가평레일파크,13
24,가평레저파크,5
25,가평브릿지짚라인,5
26,가평빠지이비자수상레저,5
27,가평양떼목장,13
28,가평초등학교,7
29,가현산숲길(하산숲길),7
30,가회동백인제가옥,2
31,가회동성당,2
32,갈대밭,7
33,감고당길,2
34,감성교복 롯데월드점,6
35,감악산,7
36,감악산등산코스,7
37,갑돌이와 갑순이 테마파크,6
38,강남수상레져,5
39,강남페티벌 미식여행 & K-Culture Stage,8
40,강동공동체정원,7
41,강문해변,1
42,강서한강공원,1
43,강천섬유원지,1
44,강촌레일파크 김유정역,13
45,강화도 원도심 투어(용흥궁-성공회강화성당-고려궁지),2
46,개미어린이공원,1
47,개천 산책,7
48,갤러리 그리브스,2
49,갤럭시스튜디오,13
50,갯골생태공원 염전체험장,13
51,갯벌체험장,13
52,건국대학교 서울캠퍼스,8
53,건국대학교 일감호,1
54,검단산,1
55,게내수변공원,1
56,경강교 인증센터,13
57,경기대학교 서울캠퍼스,7
58,경기도국민안전체험관,13
59,경기도남한산성세계유산센터,2
60,경기도박물관,2
61,경기도어린이박물관,2
62,경기도잣향기푸른숲,1
63,경기도청소년수련원 팔효정,7
64,경기미래교육 파주캠퍼스,6
65,경기북부어린이박물관,2
66,경기옛길 평해길 제4길 두물머리나루길,7
67,경기옛길 평해길 제6길 거무내길,7
68,경기의왕 레일파크,13
69,경기해양안전체험관,13
70,경반계곡,1
71,경복궁,2
72,경복궁 생과방,2
73,경복궁돌담 청와대 사잇길,7
74,경성의상실,2
75,경안천습지생태공원,1
76,경의선숲길,7
77,경의선숲길공원,1
78,경인아라뱃길아라마리나 경기인디뮤직페스티벌,8
79,경인항 김포,8
80,경주계림,7
81,경주월드,6
82,경춘선숲길,7
83,경춘선숲길갤러리,7
84,경춘폭포,1
